Date,Year,Month,Hour Ending,Electricity Price
2009-07-21 00:00:00,2009,7,8,24.3
2009-07-21 00:00:00,2009,7,9,31.58
2009-07-21 00:00:00,2009,7,10,31.65
2009-07-21 00:00:00,2009,7,11,35.74
2009-07-21 00:00:00,2009,7,12,39.8
2009-07-21 00:00:00,2009,7,13,37.3
2009-07-21 00:00:00,2009,7,14,38
2009-07-21 00:00:00,2009,7,15,35.67
2009-07-21 00:00:00,2009,7,16,51.44
2009-07-21 00:00:00,2009,7,17,48.08
2009-07-21 00:00:00,2009,7,18,36.97
2009-07-21 00:00:00,2009,7,19,38.75
2009-07-21 00:00:00,2009,7,20,34.89
2009-07-21 00:00:00,2009,7,21,36.15
2009-07-21 00:00:00,2009,7,22,33.82
2009-07-21 00:00:00,2009,7,23,30.1
2009-07-21 00:00:00,2009,7,24,23.81
2009-07-22 00:00:00,2009,7,1,20.1
2009-07-22 00:00:00,2009,7,2,13.7
2009-07-22 00:00:00,2009,7,3,6.29
2009-07-22 00:00:00,2009,7,4,-24.48
2009-07-22 00:00:00,2009,7,5,-19.16
2009-07-22 00:00:00,2009,7,6,19.91
2009-07-22 00:00:00,2009,7,7,15.02
2009-07-22 00:00:00,2009,7,8,17.94
2009-07-22 00:00:00,2009,7,9,31.64
2009-07-22 00:00:00,2009,7,10,35.13
2009-07-22 00:00:00,2009,7,11,38.54
2009-07-22 00:00:00,2009,7,12,40.68
2009-07-22 00:00:00,2009,7,13,37.56
2009-07-22 00:00:00,2009,7,14,56.78
2009-07-22 00:00:00,2009,7,15,305.77
2009-07-22 00:00:00,2009,7,16,222.57
2009-07-22 00:00:00,2009,7,17,155.38
2009-07-22 00:00:00,2009,7,18,39.41
2009-07-22 00:00:00,2009,7,19,36.6
2009-07-22 00:00:00,2009,7,20,35.45
2009-07-22 00:00:00,2009,7,21,36.17
2009-07-22 00:00:00,2009,7,22,34.56
2009-07-22 00:00:00,2009,7,23,30.2
2009-07-22 00:00:00,2009,7,24,23.4
2009-07-23 00:00:00,2009,7,1,14.84
2009-07-23 00:00:00,2009,7,2,20.27
2009-07-23 00:00:00,2009,7,3,13.25
2009-07-23 00:00:00,2009,7,4,9.43
2009-07-23 00:00:00,2009,7,5,-0.98
2009-07-23 00:00:00,2009,7,6,15.15
2009-07-23 00:00:00,2009,7,7,19.76
2009-07-23 00:00:00,2009,7,8,23.06
2009-07-23 00:00:00,2009,7,9,27.49
2009-07-23 00:00:00,2009,7,10,34.8
2009-07-23 00:00:00,2009,7,11,36.21
2009-07-23 00:00:00,2009,7,12,35.67
2009-07-23 00:00:00,2009,7,13,36.02
2009-07-23 00:00:00,2009,7,14,36.42
2009-07-23 00:00:00,2009,7,15,37.11
2009-07-23 00:00:00,2009,7,16,39.52
2009-07-23 00:00:00,2009,7,17,37.81
2009-07-23 00:00:00,2009,7,18,35.8
2009-07-23 00:00:00,2009,7,19,34.47
2009-07-23 00:00:00,2009,7,20,33.15
2009-07-23 00:00:00,2009,7,21,35.8
2009-07-23 00:00:00,2009,7,22,33.45
2009-07-23 00:00:00,2009,7,23,25.23
2009-07-23 00:00:00,2009,7,24,21.15
2009-07-24 00:00:00,2009,7,1,18.5
2009-07-24 00:00:00,2009,7,2,22.35
2009-07-24 00:00:00,2009,7,3,15.65
2009-07-24 00:00:00,2009,7,4,17.15
2009-07-24 00:00:00,2009,7,5,13.87
